,회사명,회계년도,유형자산증가율,0,1
225,(주)골드퍼시픽,2019,989.71,989.71,16777.78
226,(주)골프존,2015,387.45,387.45,11111111.11
227,(주)골프존,2016,-6.15,-6.15,-6.15
228,(주)골프존,2017,-2.02,-3.87,-2.02
229,(주)골프존,2018,16.81,22.39,16.81
230,(주)골프존,2019,38.6,34.88,38.6
231,(주)골프존뉴딘홀딩스,2011,290.19,-54.88,11111111.11
232,(주)골프존뉴딘홀딩스,2012,278.98,176.93,278.98
233,(주)골프존뉴딘홀딩스,2013,12.13,-0.2,12.13
234,(주)골프존뉴딘홀딩스,2014,104.38,30.89,104.38
235,(주)골프존뉴딘홀딩스,2015,-11.66,-44.79,-11.66
236,(주)골프존뉴딘홀딩스,2016,-0.68,0.21,-0.68
237,(주)골프존뉴딘홀딩스,2017,-1.09,-5.74,-1.09
238,(주)골프존뉴딘홀딩스,2018,-3.61,-9.98,-3.61
239,(주)골프존뉴딘홀딩스,2019,-5.13,-16.3,-5.13
240,(주)광림,2011,0.13,-95.57,11111111.11
241,(주)광림,2012,0.49,0.49,11111111.11
242,(주)광림,2013,0.3,0.3,11111111.11
243,(주)광림,2014,-0.93,-0.93,11111111.11
244,(주)광림,2015,3.07,3.07,-71.84
245,(주)광림,2016,5.0,5.0,11111111.11
246,(주)광림,2017,-17.95,2.2,-17.95
247,(주)광림,2018,1.64,-8.05,1.64
248,(주)광림,2019,1.96,-2.07,1.96
249,(주)광명전기,2011,-5.18,-66.2,11111111.11
250,(주)광명전기,2012,-9.46,1.6,-9.46
251,(주)광명전기,2013,-7.45,-3.46,-7.45
252,(주)광명전기,2014,4.27,12.72,4.27
253,(주)광명전기,2015,-0.05,-2.24,-0.05
254,(주)광명전기,2016,6.94,-2.14,6.94
255,(주)광명전기,2017,81.3,27.01,81.3
256,(주)광명전기,2018,13.84,37.91,13.84
257,(주)광명전기,2019,-33.3,-2.28,-33.3
258,(주)광무,2011,-30.74,-30.74,11111111.11
259,(주)광무,2012,-31.21,-29.27,-31.21
260,(주)광무,2013,-11.65,-11.44,-11.65
261,(주)광무,2014,-20.83,-20.83,44.82
262,(주)광무,2015,-6.34,-6.34,11111111.11
263,(주)광무,2016,-0.68,-0.68,11111111.11
264,(주)광무,2017,-3.74,-3.74,11111111.11
265,(주)광무,2018,1.95,1.95,11111111.11
266,(주)광무,2019,-53.29,-74.63,-53.29
267,(주)광주신세계,2011,-0.88,306.03,11111111.11
268,(주)광주신세계,2012,23.59,23.59,11111111.11
269,(주)광주신세계,2013,-4.05,-4.05,11111111.11
270,(주)광주신세계,2014,-0.98,-0.98,11111111.11
271,(주)광주신세계,2015,-0.66,-0.66,11111111.11
272,(주)광주신세계,2016,-1.72,-1.72,11111111.11
273,(주)광주신세계,2017,-0.75,-0.75,11111111.11
274,(주)광주신세계,2018,-0.97,-0.97,11111111.11
275,(주)광주신세계,2019,136.68,136.68,11111111.11
276,(주)구영테크,2011,-5.07,394.91,11111111.11
277,(주)구영테크,2012,5.36,22.57,5.36
278,(주)구영테크,2013,-1.02,0.25,-1.02
279,(주)구영테크,2014,3.79,-2.09,3.79
280,(주)구영테크,2015,5.6,5.91,5.6
281,(주)구영테크,2016,7.51,13.94,7.51
282,(주)구영테크,2017,11.41,49.04,11.41
283,(주)구영테크,2018,21.13,26.94,21.13
284,(주)구영테크,2019,-5.99,-0.13,-5.99
285,(주)국동,2011,164.45,-78.79,11111111.11
286,(주)국동,2012,-8.63,-12.93,-8.63
287,(주)국동,2013,-7.84,63.64,-7.84
288,(주)국동,2014,16.9,23.16,16.9
289,(주)국동,2015,7.16,-0.88,7.16
290,(주)국동,2016,40.15,-1.92,40.15
291,(주)국동,2017,-11.01,3.32,-11.01
292,(주)국동,2018,1.02,6.35,1.02
293,(주)국동,2019,-4.77,-2.57,-4.77
294,(주)국보,2011,-3.12,14.47,11111111.11
295,(주)국보,2012,2.23,1.75,2.23
296,(주)국보,2013,9.26,9.46,9.26
297,(주)국보,2014,-2.41,-2.29,-2.41
298,(주)국보,2015,-2.09,-1.89,-2.09
299,(주)국보,2016,-1.9,-1.88,-1.9
300,(주)국보,2017,-0.73,-0.72,-0.73
301,(주)국보,2018,-58.01,-58.01,-58.01
302,(주)국보,2019,-30.63,-56.81,-30.63
303,(주)국보디자인,2011,4.43,-87.24,11111111.11
304,(주)국보디자인,2012,52.79,53.47,52.79
305,(주)국보디자인,2013,-1.92,-1.81,-1.92
306,(주)국보디자인,2014,18.43,18.53,18.43
307,(주)국보디자인,2015,167.41,166.09,167.41
308,(주)국보디자인,2016,7.26,7.41,7.26
309,(주)국보디자인,2017,1.17,-2.36,1.17
310,(주)국보디자인,2018,-5.33,-2.39,-5.33
311,(주)국보디자인,2019,17.8,18.31,17.8
312,(주)국순당,2011,907.84,907.84,11111111.11
313,(주)국순당,2012,-2.61,-3.36,-2.61
314,(주)국순당,2013,-3.42,-4.17,-3.42
315,(주)국순당,2014,-9.58,-10.77,-9.58
316,(주)국순당,2015,-3.97,-4.52,-3.97
317,(주)국순당,2016,-6.17,-7.68,-6.17
318,(주)국순당,2017,-10.56,-11.93,-10.56
319,(주)국순당,2018,14.99,17.7,14.99
320,(주)국순당,2019,17.9,-21.94,17.9
321,(주)국영지앤엠,2011,94.66,-79.7,11111111.11
322,(주)국영지앤엠,2012,2.41,2.41,11111111.11
323,(주)국영지앤엠,2013,-0.98,-0.98,11111111.11
324,(주)국영지앤엠,2014,2.1,2.1,11111111.11
325,(주)국영지앤엠,2015,-2.51,-2.51,11111111.11
326,(주)국영지앤엠,2016,0.56,0.56,11111111.11
327,(주)국영지앤엠,2017,-0.03,-0.03,11111111.11
328,(주)국영지앤엠,2018,-3.96,-3.96,11111111.11
329,(주)국영지앤엠,2019,1.79,1.79,11111111.11
330,(주)국전약품,2018,0.0,0.0,11111111.11
331,(주)국전약품,2019,1254789.63,11111111.11,11111111.11
332,(주)그래디언트,2011,27.58,169.62,11111111.11
333,(주)그래디언트,2012,20.45,-48.28,20.45
334,(주)그래디언트,2013,14.78,-39.18,14.78
335,(주)그래디언트,2014,-2.56,36.55,-2.56
336,(주)그래디언트,2015,-1.87,-15.66,-1.87
337,(주)그래디언트,2016,0.7,-10.76,0.7
338,(주)그래디언트,2017,2.85,16.42,2.85
339,(주)그래디언트,2018,13.07,-37.86,13.07
340,(주)그래디언트,2019,102.12,1044.37,102.12
341,(주)그리티,2018,-31.96,-99.35,11111111.11
342,(주)그리티,2019,240.63,288.93,240.63
343,(주)그린플러스,2019,-1.64,982.77,11111111.11
344,(주)글로벌스탠다드테크놀로지,2011,142.83,11111111.11,11111111.11
345,(주)글로벌스탠다드테크놀로지,2012,21.61,28.3,21.61
346,(주)글로벌스탠다드테크놀로지,2013,11.6,1.74,11.6
347,(주)글로벌스탠다드테크놀로지,2014,0.15,0.79,0.15
348,(주)글로벌스탠다드테크놀로지,2015,21.88,26.26,21.88
349,(주)글로벌스탠다드테크놀로지,2016,11.35,13.02,11.35
350,(주)글로벌스탠다드테크놀로지,2017,30.73,25.74,30.73
351,(주)글로벌스탠다드테크놀로지,2018,12.58,10.36,12.58
352,(주)글로벌스탠다드테크놀로지,2019,-0.37,-4.96,-0.37
353,(주)금비,2011,213.42,213.42,11111111.11
354,(주)금비,2012,-0.37,-0.89,-0.37
355,(주)금비,2013,2.5,6.62,2.5
356,(주)금비,2014,3.59,25.24,3.59
357,(주)금비,2015,-2.63,-4.06,-2.63
358,(주)금비,2016,3.73,15.85,3.73
359,(주)금비,2017,-2.3,-4.77,-2.3
360,(주)금비,2018,0.62,0.39,0.62
361,(주)금비,2019,1.2,-1.04,1.2
362,(주)금양,2011,36.61,-67.11,11111111.11
363,(주)금양,2012,2.04,-0.03,2.04
364,(주)금양,2013,-2.16,-0.92,-2.16
365,(주)금양,2014,-11.57,-0.42,-11.57
366,(주)금양,2015,1.53,6.77,1.53
367,(주)금양,2016,34.92,2.46,34.92
368,(주)금양,2017,-2.97,1.02,-2.97
369,(주)금양,2018,-1.76,0.59,-1.76
370,(주)금양,2019,15.71,20.65,15.71
371,(주)금호에이치티,2015,18.23,-37.5,11111111.11
372,(주)금호에이치티,2016,76.31,111.18,76.31
373,(주)금호에이치티,2017,-9.98,-9.03,-9.98
374,(주)금호에이치티,2018,-5.17,-6.25,-5.17
375,(주)금호에이치티,2019,5.47,2.99,5.47
376,(주)금화피에스시,2011,44.0,-71.35,11111111.11
377,(주)금화피에스시,2012,9.03,9.03,11111111.11
378,(주)금화피에스시,2013,4.3,4.3,11111111.11
379,(주)금화피에스시,2014,24.18,12.28,24.18
380,(주)금화피에스시,2015,27.5,15.84,27.5
381,(주)금화피에스시,2016,8.21,-1.12,8.21
382,(주)금화피에스시,2017,-4.64,-6.16,-4.64
383,(주)금화피에스시,2018,0.69,-1.31,0.69
384,(주)금화피에스시,2019,-6.2,0.56,-6.2
385,(주)기가레인,2013,111.57,111.57,11111111.11
386,(주)기가레인,2014,30.84,34.48,30.84
387,(주)기가레인,2015,9.22,5.45,9.22
388,(주)기가레인,2016,0.24,-0.47,0.24
389,(주)기가레인,2017,-7.8,-7.69,-7.8
390,(주)기가레인,2018,-14.13,-14.78,-14.13
391,(주)기가레인,2019,-18.19,-23.33,-18.19
392,(주)기산텔레콤,2011,-4.87,-70.85,11111111.11
393,(주)기산텔레콤,2012,-81.7,16.21,-81.7
394,(주)기산텔레콤,2013,-18.81,12.02,-18.81
395,(주)기산텔레콤,2014,10.9,-14.5,10.9
396,(주)기산텔레콤,2015,-11.3,-16.9,-11.3
397,(주)기산텔레콤,2016,13.56,-16.71,13.56
398,(주)기산텔레콤,2017,-6.62,4.43,-6.62
399,(주)기산텔레콤,2018,-14.75,-40.0,-14.75
400,(주)기산텔레콤,2019,415.21,2612.37,415.21
401,(주)까뮤이앤씨,2011,-4.5,71.08,11111111.11
402,(주)까뮤이앤씨,2012,-41.59,-41.59,11111111.11
403,(주)까뮤이앤씨,2013,10.76,10.76,11111111.11
404,(주)까뮤이앤씨,2014,0.59,0.59,11111111.11
405,(주)까뮤이앤씨,2015,23.93,23.93,11111111.11
406,(주)까뮤이앤씨,2016,12.12,12.12,11111111.11
407,(주)까뮤이앤씨,2017,2.38,2.38,11111111.11
408,(주)까뮤이앤씨,2018,0.21,0.21,11111111.11
409,(주)까뮤이앤씨,2019,-0.12,-0.12,11111111.11
410,(주)까스텔바작,2019,15.29,-84.14,11111111.11
411,(주)나노,2014,1254789.63,11111111.11,11111111.11
412,(주)나노,2015,1254789.63,11111111.11,11111111.11
413,(주)나노,2016,6.63,-10.86,6.63
414,(주)나노,2017,-1.75,-14.15,-1.75
415,(주)나노,2018,8.0,-10.13,8.0
416,(주)나노,2019,-2.51,-6.46,-2.51
417,(주)나노브릭,2019,-6.18,-75.04,11111111.11
418,(주)나노신소재,2011,16.17,11111111.11,11111111.11
419,(주)나노신소재,2012,-3.69,-3.64,-3.69
420,(주)나노신소재,2013,-8.95,-8.94,-8.95
421,(주)나노신소재,2014,-5.41,-5.37,-5.41
422,(주)나노신소재,2015,4.68,4.73,4.68
423,(주)나노신소재,2016,-4.09,-4.06,-4.09
424,(주)나노신소재,2017,7.25,7.0,7.25
425,(주)나노신소재,2018,4.95,5.03,4.95
426,(주)나노신소재,2019,-3.0,-2.95,-3.0
427,(주)나노엔텍,2011,-51.55,-51.55,11111111.11
428,(주)나노엔텍,2012,32.68,32.68,32.68
429,(주)나노엔텍,2013,-3.42,-3.42,-3.42
430,(주)나노엔텍,2014,-5.46,-5.46,-5.46
431,(주)나노엔텍,2015,23.88,7.48,23.88
432,(주)나노엔텍,2016,4.49,20.44,4.49
433,(주)나노엔텍,2017,-8.66,-8.66,-8.66
434,(주)나노엔텍,2018,-4.98,-5.0,-4.98
435,(주)나노엔텍,2019,-4.68,-4.67,-4.68
436,(주)나무가,2015,27.84,273.99,11111111.11
437,(주)나무가,2016,23.31,95.54,23.31
438,(주)나무가,2017,-6.23,-20.17,-6.23
439,(주)나무가,2018,-10.57,16.43,-10.57
440,(주)나무가,2019,55.2,-24.57,55.2
441,(주)나스미디어,2013,-3.3,-79.17,11111111.11
442,(주)나스미디어,2014,-18.46,-18.46,11111111.11
443,(주)나스미디어,2015,3413.88,3413.88,11111111.11
444,(주)나스미디어,2016,-4.66,-4.66,11111111.11
445,(주)나스미디어,2017,-2.77,-4.35,-2.77
446,(주)나스미디어,2018,1.87,-0.33,1.87
447,(주)나스미디어,2019,-6.61,-5.14,-6.61
448,(주)나이벡,2011,-2.41,43.09,11111111.11
449,(주)나이벡,2012,4.29,4.29,11111111.11
450,(주)나이벡,2013,-5.69,-5.69,11111111.11
451,(주)나이벡,2014,-7.53,-7.53,11111111.11
452,(주)나이벡,2015,8.07,8.07,11111111.11
453,(주)나이벡,2016,18.7,18.7,11111111.11
454,(주)나이벡,2017,7.58,7.58,11111111.11
455,(주)나이벡,2018,0.0,0.0,11111111.11
456,(주)나이벡,2019,13.24,13.24,11111111.11
457,(주)나이스디앤비,2011,9.84,0.0,11111111.11
458,(주)나이스디앤비,2012,0.23,0.23,11111111.11
459,(주)나이스디앤비,2013,1.54,1.54,11111111.11
460,(주)나이스디앤비,2014,-17.96,-17.96,11111111.11
461,(주)나이스디앤비,2015,39.66,39.66,11111111.11
462,(주)나이스디앤비,2016,38.62,77.82,38.62
463,(주)나이스디앤비,2017,14.52,34.74,14.52
464,(주)나이스디앤비,2018,0.19,7.67,0.19
465,(주)나이스디앤비,2019,356.53,290.89,356.53
466,(주)나이스홀딩스,2011,24.14,1153.65,11111111.11
467,(주)나이스홀딩스,2012,12.14,-53.48,12.14
468,(주)나이스홀딩스,2013,164.88,114.21,164.88
469,(주)나이스홀딩스,2014,74.74,22.61,74.74
470,(주)나이스홀딩스,2015,-19.56,-7.46,-19.56
471,(주)나이스홀딩스,2016,-5.8,-9.49,-5.8
472,(주)나이스홀딩스,2017,6.3,-8.4,6.3
473,(주)나이스홀딩스,2018,63.3,5.66,63.3
474,(주)나이스홀딩스,2019,24.95,2.6,24.95
475,(주)나인테크,2017,-97.05,-97.05,11111111.11
476,(주)나인테크,2018,1254789.63,11111111.11,11111111.11
477,(주)나인테크,2019,1254789.63,11111111.11,11111111.11
478,(주)남선알미늄,2011,-4.27,345.98,11111111.11
479,(주)남선알미늄,2012,-3.96,-3.96,-77.58
480,(주)남선알미늄,2013,-1.94,-1.94,11111111.11
481,(주)남선알미늄,2014,0.34,0.34,11111111.11
482,(주)남선알미늄,2015,-3.38,-3.38,11111111.11
483,(주)남선알미늄,2016,-1.42,-1.42,11111111.11
484,(주)남선알미늄,2017,-3.16,-3.16,11111111.11
485,(주)남선알미늄,2018,22.39,22.39,11111111.11
486,(주)남선알미늄,2019,-3.2,-3.2,-3.2
487,(주)남성,2011,-4.94,-88.59,11111111.11
488,(주)남성,2012,-1.91,-2.2,-1.91
489,(주)남성,2013,-3.48,-4.89,-3.48
490,(주)남성,2014,-0.62,-0.62,0.0
