,회사명,거래소코드,회계년도,이자보상배율
1272,(주)에스엘바이오닉스,214310,15-Dec,25.56
1277,(주)에스엠라이프디자인그룹,63440,11-Dec,5.68
1286,(주)에스엠벡셀,10580,11-Dec,-0.11
1295,(주)에스엠컬처앤콘텐츠,48550,11-Dec,2.4
1304,(주)에스지세계물산,4060,11-Dec,4.4
1313,(주)에스티큐브,52020,11-Dec,-116.44
1322,(주)에이디칩스,54630,11-Dec,40.0
1331,(주)에이루트,96690,11-Dec,73.37
1340,(주)에이비프로바이오,195990,15-Dec,19.81
1345,(주)에이엔피,15260,11-Dec,0.92
1354,(주)에이트원,230980,16-Dec,11111111.11
1358,(주)에이프로젠헬스케어앤게임즈,109960,11-Dec,-21.05
1367,(주)에프알텍,73540,11-Dec,11111111.11
1376,(주)에프앤리퍼블릭,64090,11-Dec,-1.37
1385,(주)엑세스바이오인코퍼레이션,950130,13-Dec,201.97
1392,(주)엔에스엔,31860,11-Dec,-0.99
1401,(주)엔지스테크널러지,208860,16-Dec,17.8
1405,(주)엔케이,85310,11-Dec,1.0
1414,(주)엔피,291230,18-Dec,-1.36
1416,(주)엘아이에스,138690,11-Dec,23.37
1425,(주)엘앤에프,66970,11-Dec,1.88
1434,(주)엘앤케이바이오메드,156100,16-Dec,3.27
1438,(주)엘에스네트웍스,680,11-Dec,0.37
1447,(주)엠게임,58630,11-Dec,-0.15
1456,(주)엠피대산,65150,11-Dec,5.01
1465,(주)영풍,670,11-Dec,22.44
1474,(주)영흥,12160,11-Dec,36.67
1483,(주)예선테크,250930,16-Dec,-3.62
1487,(주)오리엔탈정공,14940,11-Dec,-3.54
1496,(주)오리엔트바이오,2630,11-Mar,2.17
1505,(주)오리엔트정공,65500,11-Dec,-4.65
1514,(주)오스코텍,39200,11-Dec,0.55
1523,(주)오킨스전자,80580,14-Dec,7.69
1529,(주)와이지플러스,37270,11-Dec,5.6
1538,(주)와이투솔루션,11690,11-Dec,-0.67
1547,(주)와이티엔,40300,11-Dec,3.2
1556,(주)우리기술,32820,11-Dec,1.32
1565,(주)우성,6980,11-Dec,9.26
1574,(주)우진,105840,11-Dec,50.18
1583,(주)웅진,16880,11-Dec,-0.73
1592,(주)원익,32940,11-Dec,0.96
1601,(주)월덱스,101160,11-Dec,3.73
1610,(주)웨이브일렉트로닉스,95270,11-Dec,-15.27
1619,(주)위메이드맥스,101730,11-Dec,79.27
1628,(주)윈팩,97800,13-Dec,-6.05
1635,(주)유니켐,11330,11-Dec,-7.33
1643,(주)유신,54930,11-Dec,-12.47
1652,(주)유씨아이,38340,11-Dec,-0.38
1661,(주)유아이디,69330,11-Dec,9.54
1670,(주)유진로봇,56080,11-Dec,1.04
1679,(주)유테크,178780,15-Dec,3.44
1684,(주)이건홀딩스,39020,11-Dec,0.69
1693,(주)이글루코퍼레이션,67920,11-Dec,364.23
1702,(주)이노와이어리스,73490,11-Dec,43.06
1711,(주)이노테라피,246960,19-Dec,-133.85
1712,(주)이랜시스,264850,17-Dec,-0.92
1715,(주)이브이수성,84180,11-Dec,8.61
1724,(주)이브이첨단소재,131400,11-Dec,42.82
1733,(주)이수앱지스,86890,11-Dec,-173.62
1742,(주)이수페타시스,7660,11-Dec,2.58
1751,(주)이수화학,5950,11-Dec,2.56
1760,(주)이스타코,15020,11-Dec,-0.68
1769,(주)이스트소프트,47560,11-Dec,21.85
1778,(주)이아이디,93230,11-Dec,-26.29
1787,(주)이엔코퍼레이션,66980,11-Dec,-2.42
1796,(주)이엔플러스,74610,11-Dec,-5.61
1805,(주)이엠앤아이,83470,11-Dec,0.11
1814,(주)이월드,84680,11-Dec,-0.26
1823,(주)인디에프,14990,11-Dec,-3.54
1832,(주)인바이오젠,101140,11-Dec,4.62
1841,(주)인스코비,6490,11-Dec,-35.46
1850,(주)인지디스플레이,37330,11-Dec,17.61
1859,(주)인터플렉스,51370,11-Dec,9.73
1868,(주)인텍플러스,64290,11-Dec,16.83
1877,(주)인트로메딕,150840,13-Dec,22.79
1884,(주)인트론바이오테크놀로지,48530,11-Dec,0.65
1893,(주)인포마크,175140,15-Dec,-1.55
1898,(주)일신바이오베이스,68330,11-Dec,8.62
1907,(주)일신석재,7110,11-Dec,3.04
1916,(주)일야,58450,11-Dec,-57.51
1925,(주)일지테크,19540,11-Dec,6.18
1934,(주)잉크테크,49550,11-Dec,-3.46
1943,(주)자비스,254120,16-Dec,-0.67
1947,(주)자연과환경,43910,11-Dec,-7.76
1956,(주)제넥신,95700,11-Dec,-28.26
1965,(주)제넨바이오,72520,11-Dec,2.09
1974,(주)제닉,123330,11-Dec,87.76
1983,(주)제로투세븐,159580,13-Dec,15.88
1990,(주)제이에스티나,26040,11-Dec,4.83
1999,(주)제이웨이,58420,11-Dec,-34.74
2008,(주)제이티,89790,11-Dec,5.85
2017,(주)제주반도체,80220,11-Dec,433.55
2026,(주)젬백스&카엘,82270,11-Dec,-1.12
2035,(주)주연테크,44380,11-Dec,11111111.11
2044,(주)중앙디앤엠,51980,11-Dec,17.07
2053,(주)지어소프트,51160,11-Dec,-54.28
2062,(주)진매트릭스,109820,11-Dec,-4.46
2071,(주)체시스,33250,11-Jun,3.51
2080,(주)초록뱀미디어,47820,11-Dec,28.58
2089,(주)초록뱀이앤엠,131100,11-Dec,5.77
2097,(주)초록뱀컴퍼니,52300,11-Dec,-38.52
2106,(주)초록뱀헬스케어,118000,11-Dec,-1.63
2115,(주)카스,16920,11-Dec,0.25
2124,(주)카프로,6380,11-Dec,41.07
2133,(주)컴투스홀딩스,63080,11-Dec,344.01
2142,(주)케이씨씨건설,21320,11-Dec,5.09
2151,(주)케이에스피,73010,11-Dec,35.52
2160,(주)케이에이치바텍,60720,11-Dec,6.57
2169,(주)케이엑스하이텍,52900,11-Dec,-0.4
2178,(주)케이엠더블유,32500,11-Dec,-2.13
2187,(주)케이이씨,92220,11-Dec,-1.92
2196,(주)케이프,64820,11-Dec,3.52
2205,(주)케이피엠테크,42040,11-Dec,-0.98
2214,(주)켐온,217600,15-Dec,-1.31
2219,(주)켐트로닉스,89010,11-Dec,4.37
2228,(주)코다코,46070,11-Dec,1.66
2237,(주)코데즈컴바인,47770,11-Dec,3.74
2246,(주)코디,80530,11-Dec,4.85
2255,(주)코디엠,224060,15-Dec,6.69
2260,(주)코리아나화장품,27050,11-Dec,-0.28
2269,(주)코미팜,41960,11-Dec,0.34
2278,(주)코세스,89890,11-Dec,22.5
2287,(주)코센,9730,11-Dec,-9.21
2296,(주)코스나인,82660,11-Dec,-9.06
2305,(주)코썬바이오,204990,16-Dec,0.0
2309,(주)코아스,71950,11-Dec,1.68
2318,(주)코아시아,45970,11-Dec,1.18
2327,(주)코아시아옵틱스,196450,14-Dec,11111111.11
2333,(주)코오롱,2020,11-Dec,6.11
2342,(주)코원플레이,56000,11-Dec,-7.81
2351,(주)코이즈,121850,12-Dec,15.21
2359,(주)큐로,15590,11-Dec,-2.63
2368,(주)큐로컴,40350,11-Dec,-2.07
2377,(주)큐로홀딩스,51780,11-Dec,-0.57
2386,(주)클래시스,214150,15-Dec,-1.32
2391,(주)태웅,44490,11-Dec,12.14
2400,(주)텔콘알에프제약,200230,14-Dec,139.45
2406,(주)토니모리,214420,15-Dec,71.94
2411,(주)토탈소프트뱅크,45340,11-Dec,-47.57
2420,(주)투비소프트,79970,11-Dec,238.35
2429,(주)트루윈,105550,14-Dec,3.44
2435,(주)특수건설,26150,11-Dec,-3.35
2444,(주)티사이언티픽,57680,11-Dec,-3.97
2453,(주)티에스넥스젠,43220,11-Dec,-3.12
2462,(주)티에이치엔,19180,11-Dec,4.15
2471,(주)티웨이홀딩스,4870,11-Dec,-1.95
2480,(주)티케이케미칼,104480,11-Dec,3.8
2489,(주)파나진,46210,11-Dec,-0.23
2498,(주)파루,43200,11-Dec,-8.8
2507,(주)파인디앤씨,49120,11-Dec,-1.96
2516,(주)파인테크닉스,106240,11-Dec,9.55
2525,(주)판타지오,32800,11-Dec,11111111.11
2534,(주)팬스타엔터프라이즈,54300,11-Dec,-2.15
2543,(주)팬엔터테인먼트,68050,11-Dec,1.84
2552,(주)팬젠,222110,16-Dec,-38.48
2556,(주)퓨쳐켐,220100,16-Dec,-5.22
2560,(주)프로스테믹스,203690,14-Dec,2.47
2566,(주)플래스크,41590,11-Dec,1.54
2575,(주)플레이그램,9810,11-Dec,26.12
2584,(주)플레이위드,23770,11-Dec,-7.92
2593,(주)피에스엠씨,24850,11-Dec,-5.98
2601,(주)피에이치씨,57880,11-Dec,0.62
2610,(주)하이소닉,106080,11-Dec,7.63
2619,(주)하이스틸,71090,11-Dec,1.56
2628,(주)하이트론씨스템즈,19490,11-Dec,-6.23
2637,(주)한국전자홀딩스,6200,11-Dec,-0.35
2646,(주)한국종합기술,23350,11-Dec,212.72
2655,(주)한국코퍼레이션,50540,11-Dec,4.75
2664,(주)한국테크놀로지,53590,11-Dec,-403.01
2673,(주)한국특강,7280,11-Dec,1.29
2682,(주)한국팩키지,37230,11-Dec,88.05
2691,(주)한라,14790,11-Dec,1.06
2700,(주)한빛소프트,47080,11-Dec,-9.71
2709,(주)한일진공,123840,11-Dec,-0.93
2718,(주)한진,2320,11-Dec,1.0
2727,(주)한진중공업홀딩스,3480,11-Dec,11.47
2736,(주)한창바이오텍,43090,11-Dec,-0.32
2745,(주)한컴위드,54920,11-Dec,7.9
2754,(주)한탑,2680,11-Dec,0.0
2763,(주)핸디소프트,220180,16-Dec,54.05
2767,(주)헬릭스미스,84990,11-Dec,-3.14
2776,(주)형지아이앤씨,11080,11-Dec,-10.34
2785,(주)형지엘리트,93240,11-Jun,6.49
2794,(주)홈센타홀딩스,60560,11-Dec,5.93
2803,(주)홈캐스트,64240,11-Dec,11.0
2812,(주)화신,10690,11-Dec,18.3602195
2821,(주)후성,93370,11-Dec,4.857010016
2830,(주)휴니드테크놀러지스,5870,11-Dec,0.15504898
2839,(주)휴먼엔,32860,11-Dec,1.960892889
2848,KG스틸(주),16380,11-Dec,0.104572817
2857,OCI(주),10060,11-Dec,15.29665975
2866,ST엔진(주),77970,11-Dec,2.492438285
2875,ST중공업(주),71970,11-Dec,1.349278875
2884,감성코퍼레이션(주),36620,11-Dec,-1.352309966
2893,갤럭시아머니트리(주),94480,11-Dec,-4.520757016
2902,광전자(주),17900,11-Dec,0.1981706
2911,국일제지(주),78130,11-Dec,0.103509976
2920,국제약품(주),2720,11-Mar,11111111.11
2929,글로본(주),19660,11-Mar,11111111.11
2938,금호전기(주),1210,11-Dec,1.318500285
2947,금호타이어(주),73240,11-Dec,0.970059309
2956,깨끗한나라(주),4540,11-Dec,1.319855988
2965,나노캠텍(주),91970,11-Dec,3.985734939
2974,남광토건(주),1260,11-Dec,-2.967652215
2983,뉴지랩파마(주),214870,15-Dec,20.79250544
2988,대동기어(주),8830,11-Dec,1.373909439
2997,대동전자(주),8110,11-Mar,3.167589115
3006,대림통상(주),6570,11-Dec,0.437597394
3015,대성산업(주),128820,11-Dec,-0.418904543
3024,대우전자부품(주),9320,11-Dec,-3.26853341
3033,대우조선해양(주),42660,11-Dec,11111111.11
3042,대주전자재료(주),78600,11-Dec,11111111.11
3051,대한광통신(주),10170,11-Dec,0.62295848
3060,대한그린파워(주),60900,11-Dec,2.402536898
3069,대한방직(주),1070,11-Dec,-1.257164503
3078,대한전선(주),1440,11-Dec,0.029614864
3087,대한해운(주),5880,11-Dec,-1.114066413
3096,대한화섬(주),3830,11-Dec,6.266808129
3105,더이앤엠(주),89230,11-Dec,-2.044959083
3114,데브시스터즈(주),194480,14-Dec,333.2570887
3120,동국제강(주),1230,11-Dec,1.320156014
3129,동부건설(주),5960,11-Dec,0.49743972
3138,동성제약(주),2210,11-Dec,1.621696525
3147,동양철관(주),8970,11-Dec,1.429383963
3156,동원수산(주),30720,11-Dec,3.123345091
3165,동일철강(주),23790,11-Dec,0.965354395
3174,디엑스앤브이엑스(주),180400,15-Dec,11111111.11
3179,디젠스(주),113810,12-Dec,2.246943275
3187,램테크놀러지(주),171010,13-Dec,2.745428259
3194,롯데관광개발(주),32350,11-Dec,0.132193021
3203,롯데정밀화학(주),4000,11-Dec,133.2167954
3212,마이크로로봇(주),182690,14-Dec,42.67640389
3218,메디앙스(주),14100,11-Dec,-3.891676744
3227,메디포스트(주),78160,11-Dec,40.403606
3236,명문제약(주),17180,11-Dec,2.064209008
3245,미래나노텍(주),95500,11-Dec,2.165823912
3254,미래산업(주),25560,11-Dec,-2.855634297
3263,바이온(주),32980,11-Jun,-11.33004021
3272,범양건영(주),2410,11-Dec,-2.070865593
3281,베뉴지(주),19010,11-Dec,0.553150694
3290,보성파워텍(주),6910,11-Dec,-1.856797816
3299,보해양조(주),890,11-Dec,0.579227128
3308,비케이탑스(주),30790,11-Dec,11111111.11
3317,사조동아원(주),8040,11-Dec,-0.016472621
3326,삼강엠앤티(주),100090,11-Dec,11111111.11
3335,삼보산업(주),9620,11-Dec,11111111.11
3344,삼부토건(주),1470,11-Dec,-1.778510783
3353,삼성제약(주),1360,11-Dec,11111111.11
3362,삼성중공업(주),10140,11-Dec,53.646264
3371,삼영화학공업(주),3720,11-Dec,25.35790399
3380,삼일제약(주),520,11-Dec,-4.492794161
3389,삼천리자전거(주),24950,11-Dec,11111111.11
3398,삼화전자공업(주),11230,11-Dec,-2.11628776
3407,서울전자통신(주),27040,11-Dec,-1.326607771
3416,성문전자(주),14910,11-Dec,11.73831704
3425,성우테크론(주),45300,11-Dec,-0.651393955
3434,성창기업지주(주),180,11-Dec,1.649833338
3443,성호전자(주),43260,11-Dec,2.868290715
3452,세기상사(주),2420,11-Dec,-0.546718017
3461,세원이앤씨(주),91090,11-Dec,-3.817909901
3470,세종텔레콤(주),36630,11-Dec,-0.967263256
3479,소니드(주),60230,11-Dec,-1.68352972
3488,신라젠(주),215600,16-Dec,-9.164250389
3492,신송홀딩스(주),6880,13-Dec,21.88098631
3499,신풍제지(주),2870,11-Dec,-4.504348624
3508,쌍용자동차(주),3620,11-Dec,-13.91220303
3517,쌍용정보통신(주),10280,11-Dec,17.33666086
3526,써니전자(주),4770,11-Dec,-5.084093903
3535,씨비아이(주),13720,11-Dec,3.886376926
3544,씨앤티85(주),56730,11-Dec,6.245724093
3553,아남전자(주),8700,11-Dec,-0.375113653
3562,아비코전자(주),36010,11-Dec,-2.989306782
3571,아시아나항공(주),20560,11-Dec,1.931713653
3580,아이진(주),185490,15-Dec,-186.1368417
3585,애머릿지코퍼레이션,900100,11-Dec,-8.8
3594,에스디엔(주),99220,11-Dec,1.66
3603,에스맥(주),97780,11-Dec,43.77
3612,에스비더블유생명과학(주),151910,12-Dec,4.78
3620,에스지씨에너지(주),5090,11-Dec,1.65
3629,에스지에이(주),49470,11-Dec,3.98
3638,에쓰씨엔지니어링(주),23960,11-Dec,-4.54
3647,에이비엘바이오(주),298380,18-Dec,-35.29
3649,에이치에스디엔진(주),82740,11-Dec,19.17
3658,에이치엘비(주),28300,11-Dec,0.86
3667,에이치엘비글로벌(주),3580,11-Dec,-5.94
3676,에이치엘비생명과학(주),67630,11-Dec,-2.39
3685,에이치엘비제약(주),47920,15-Dec,-1.46
3690,에이치엘비테라퓨틱스(주),115450,11-Dec,-82.36
3699,에이치엠엠(주),11200,11-Dec,-1.4
3708,에이프로젠제약(주),3060,11-Dec,0.31
3717,에이피에스홀딩스(주),54620,11-Dec,9.81
3726,에코바이오홀딩스(주),38870,11-Dec,0.6
3735,엑스큐어(주),70300,11-Dec,188.86
3744,엔시트론(주),101400,11-Dec,8.62
3753,엘컴텍(주),37950,11-Dec,-2.26
3762,오성첨단소재(주),52420,11-Dec,0.3
3771,올릭스(주),226950,18-Dec,-242.4
3773,우리바이오(주),82850,11-Dec,2.25
3782,우리엔터프라이즈(주),37400,11-Dec,1.59
3791,우진비앤지(주),18620,11-Dec,3.88
3800,웰바이오텍(주),10600,11-Dec,2.86
3809,유니슨(주),18000,11-Dec,-1.48
3818,유진기업(주),23410,11-Dec,-0.36
3827,이구산업(주),25820,11-Dec,0.92
3836,이노시스(주),56090,15-Dec,-2.64
3841,이엠코리아(주),95190,11-Dec,4.18
3850,이원컴포텍(주),88290,11-Dec,3.01
3859,이트론(주),96040,11-Dec,-41.92
3868,이화산업(주),760,11-Mar,3.71
3877,이화전기공업(주),24810,11-Dec,0.66
3886,인선이엔티(주),60150,11-Dec,0.93
3895,인화정공(주),101930,11-Dec,15.21
3904,일동홀딩스(주),230,11-Dec,7.51
3913,일양약품(주),7570,11-Mar,1.13
3922,일정실업(주),8500,11-Dec,4.2
3931,일진머티리얼즈(주),20150,11-Dec,9.73
3940,재영솔루텍(주),49630,11-Dec,0.77
3949,전방(주),950,11-Dec,-3.75
3958,제너셈(주),217190,15-Dec,37.05
3963,제이더블유신약(주),67290,11-Dec,1.25
3972,제이더블유홀딩스(주),96760,11-Dec,0.13
3981,제이스코홀딩스(주),23440,11-Dec,-2.13
3990,제이엠아이(주),33050,11-Dec,-10.74
3999,제이준코스메틱(주),25620,11-Dec,-4.92
4008,조아제약(주),34940,11-Dec,3.43
4017,조일알미늄(주),18470,11-Dec,3.87
4026,주성엔지니어링(주),36930,11-Dec,0.23
4035,줌인터넷(주),239340,16-Dec,-3.17
4039,지나인제약(주),78650,11-Dec,-1.37
4048,지엘팜텍(주),204840,14-Dec,-0.86
4054,진양제약(주),7370,11-Dec,10.05
4063,진양화학(주),51630,11-Dec,104.34
4072,참존글로벌(주),158310,13-Dec,1080.04
4079,커머스마이너 (주),223310,15-Dec,22.42
4084,컨버즈(주),109070,11-Dec,-1.59
4093,케이비아이동국실업(주),1620,11-Dec,12.27
4102,케이씨코트렐(주),119650,11-Dec,168.34
4111,케이알모터스(주),40,11-Dec,2.21
4120,케이엠제약(주),225430,15-Dec,-1.14
4125,코나아이(주),52400,11-Dec,6.06
4134,코드네이처(주),78940,11-Dec,-0.22
4143,코스모신소재(주),5070,11-Dec,0.33
4152,코스모화학(주),5420,11-Dec,2.31
4161,코아스템(주),166480,15-Dec,91.78
4166,코오롱글로벌(주),3070,11-Dec,1.27
4175,코오롱생명과학(주),102940,11-Dec,7.78
4184,코오롱티슈진(주),950160,17-Dec,-53.75
4187,큐렉소(주),60280,11-Dec,-4.24
4196,크로바하이텍(주),43590,11-Dec,1.77
4205,크루셜텍(주),114120,11-Dec,10.18
4214,크리스탈지노믹스(주),83790,11-Dec,-20.73
4223,테라사이언스(주),73640,11-Dec,1.79
4232,티와이엠(주),2900,11-Dec,0.64
4241,티케이지애강(주),22220,11-Dec,0.43
4250,파나케이아(주),58530,11-Dec,1.46
4259,팜젠사이언스(주),4720,11-Dec,-2.72
4268,팬오션(주),28670,11-Dec,-0.27
4277,퍼스텍(주),10820,11-Dec,5.02
4286,페이퍼코리아(주),1020,11-Dec,-0.9
4295,평화산업(주),90080,11-Dec,-0.24
4304,평화홀딩스(주),10770,11-Dec,0.02
4313,포스코스틸리온(주),58430,11-Dec,-5.73
4322,한국전력공사(주),15760,11-Dec,-0.32
4331,한국정밀기계(주),101680,11-Dec,14.2
4340,한국정보공학(주),39740,11-Dec,-1.85
4349,한국주강(주),25890,11-Dec,18.93
4358,한국철강(주),104700,11-Dec,-26.91
4367,한국화장품(주),123690,11-Dec,-12.9
4376,한솔테크닉스(주),4710,11-Dec,-4.39
4385,한올바이오파마(주),9420,11-Dec,-2.88
4394,한일사료(주),5860,11-Dec,2.73
4403,한일철강(주),2220,11-Dec,0.87
4412,한화솔루션(주),9830,11-Dec,1.7
4421,해성옵틱스(주),76610,13-Dec,8.91
4428,현대로템(주),64350,13-Dec,2.94
4435,현대바이오사이언스(주),48410,11-Dec,-18.41
4444,현우산업(주),92300,11-Dec,2.86
4453,휴림로봇(주),90710,11-Dec,2.96
4462,휴마시스(주),205470,14-Dec,-0.76
4468,흥아해운(주),3280,11-Dec,-0.33
